type,name,name_en,iata,lat,lon,osm_id
Airport,池州九华山机场,Chizhou Jiuhuashan Airport,JUH,30.7415699,117.6865219,way/239347142
Airport,宜春明月山机场,Yichun Mingyueshan Airport,YIC,27.8022643,114.3059715,way/245855232
Airport,邢台褡裢机场,Xingtai Dalian Airport,XNT,36.8830209,114.4280552,way/245974130
Airport,锡林浩特机场,Xilinhot Airport,XIL,43.9138988,115.9608972,way/250357217
Airport,惠州平潭机场,Huizhou Pingtan Airport,HUZ,23.0517247,114.600516,way/261101493
Airport,宜宾五粮液机场,Yibin Wuliangye Airport,YBP,28.857556,104.5268209,way/262166594
Airport,黔江武陵山机场,Qianjiang Wulingshan Airport,JIQ,29.5152017,108.831253,way/285032683
Airport,石家庄正定国际机场,Shijiazhuang Zhengding International Airport,SJW,38.2803612,114.694973,way/289747094
Airport,稻城亚丁机场,Daocheng Yading Airport,DCY,29.3168192,100.061019,way/292580461
Airport,北京首都国际机场,Beijing Capital International Airport,PEK,40.0803339,116.5938286,way/292809708
Airport,泉州晋江国际机场,Quanzhou Jingjiang International Airport,JJN,24.7968172,118.5888542,way/294692286
Airport,腾冲驼峰机场,Tengchong Tuofeng Airport,TCZ,24.9413538,98.4854628,way/300626501
Airport,阿尔山伊尔施机场,Arxan Yi'ershi Airport,YIE,47.3105486,119.9114256,way/303006642
Airport,大同云冈国际机场,Datong Yungang International Airport,DAT,40.0609299,113.481482,way/309033444
Airport,阿拉善左旗巴彦浩特机场,Alxa Left Banner Bayanhot Airport,AXF,38.7483201,105.5839908,way/317216080
Airport,蓬莱沙河口机场,Penglai Shahekou Airport,PNJ,37.8047949,120.8098906,way/317694584
Airport,徐州观音国际机场,Xuzhou Guanyin Airport,XUZ,34.0585171,117.5564213,way/320472307
Airport,银川河东国际机场,Yinchuan Hedong International Airport,INC,38.321069,106.3905756,way/320489156
Airport,杭州萧山国际机场,Hangzhou Xiaoshan International Airport,HGH,30.2366743,120.4292516,way/328062510
Airport,遵义新舟机场,Zunyi Airport,ZYI,27.8106538,107.2470214,way/333982923
Airport,六盘水月照机场,Liupanshui Yuezhao Airport,LPF,26.6086482,104.9787721,way/335587295
Airport,额济纳旗桃来机场,Ejin Taolai Airport,EJN,42.0155397,101.0008278,way/336642879
Airport,且末玉都机场 چەرچەن يۈدۇ ئايرودرومى,Qiemo Yudu Airport,IQM,38.231459,85.4613925,way/345463145
Airport,中卫沙坡头机场,Zhongwei Shapotou Airport,ZHY,37.5710349,105.1545352,way/359372444
Airport,毕节飞雄机场,Bijie Feixiong Airport,BFJ,27.267066,105.4732006,way/375326772
